"model","scenario","region","variable","unit","year","value"
"WITCH 6.0","SSP2_ce_narrow","korea","Population","million people",2060,42.3330191352256
"WITCH 6.0","SSP2_ce_narrow","laca","Population","million people",2060,369.704513213334
"WITCH 6.0","SSP2_ce_narrow","mena","Population","million people",2060,721.969997356932
"WITCH 6.0","SSP2_ce_narrow","mexico","Population","million people",2060,153.41404200385
"WITCH 6.0","SSP2_ce_narrow","oceania","Population","million people",2060,61.40985280726
"WITCH 6.0","SSP2_ce_narrow","othereurope","Population","million people",2060,104.055779177938
"WITCH 6.0","SSP2_ce_narrow","sasia","Population","million people",2060,775.365135125647
"WITCH 6.0","SSP2_ce_narrow","seasia","Population","million people",2060,472.350532481734
"WITCH 6.0","SSP2_ce_narrow","southafrica","Population","million people",2060,70.8182854773587
"WITCH 6.0","SSP2_ce_narrow","ssa","Population","million people",2060,2459.08550025865
"WITCH 6.0","SSP2_ce_narrow","te","Population","million people",2060,275.518223618283
"WITCH 6.0","SSP2_ce_narrow","usa","Population","million people",2060,381.441878183903
"WITCH 6.0","SSP2_ce_narrow","world","Population","million people",2060,9987.01807672467
"WITCH 6.0","SSP2_ce_narrow","brazil","Population","million people",2065,215.987795493036
"WITCH 6.0","SSP2_ce_narrow","canada","Population","million people",2065,43.9730105094221
"WITCH 6.0","SSP2_ce_narrow","ccasia","Population","million people",2065,156.976890811841
"WITCH 6.0","SSP2_ce_narrow","china","Population","million people",2065,1140.12832429931
"WITCH 6.0","SSP2_ce_narrow","eu27","Population","million people",2065,430.15575483336
"WITCH 6.0","SSP2_ce_narrow","india","Population","million people",2065,1625.22882509701
"WITCH 6.0","SSP2_ce_narrow","indonesia","Population","million people",2065,312.898970865459
"WITCH 6.0","SSP2_ce_narrow","japan","Population","million people",2065,96.8428682415733
"WITCH 6.0","SSP2_ce_narrow","korea","Population","million people",2065,40.1290589979059
"WITCH 6.0","SSP2_ce_narrow","laca","Population","million people",2065,369.606807691383
"WITCH 6.0","SSP2_ce_narrow","mena","Population","million people",2065,735.994303043286
"WITCH 6.0","SSP2_ce_narrow","mexico","Population","million people",2065,153.925065087639
"WITCH 6.0","SSP2_ce_narrow","oceania","Population","million people",2065,62.5860220839698
"WITCH 6.0","SSP2_ce_narrow","othereurope","Population","million people",2065,104.596559298349
"WITCH 6.0","SSP2_ce_narrow","sasia","Population","million people",2065,796.923484264838
"WITCH 6.0","SSP2_ce_narrow","seasia","Population","million people",2065,470.883407993754
"WITCH 6.0","SSP2_ce_narrow","southafrica","Population","million people",2065,70.2882250097946
"WITCH 6.0","SSP2_ce_narrow","ssa","Population","million people",2065,2610.4156804401
"WITCH 6.0","SSP2_ce_narrow","te","Population","million people",2065,272.369844501582
"WITCH 6.0","SSP2_ce_narrow","usa","Population","million people",2065,386.285877518639
"WITCH 6.0","SSP2_ce_narrow","world","Population","million people",2065,10096.1967760823
"WITCH 6.0","SSP2_ce_narrow","brazil","Population","million people",2070,211.804827756188
"WITCH 6.0","SSP2_ce_narrow","canada","Population","million people",2070,44.4386400706819
"WITCH 6.0","SSP2_ce_narrow","ccasia","Population","million people",2070,157.344250516318
